City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,kodiak,57.79,-152.4072,42.31,100,100,9.22,US,1685200786
1,mogocha,53.7333,119.7667,36.52,79,84,4.97,RU,1685200786
2,petropavlovsk-kamchatsky,53.0452,158.6483,39.79,81,0,2.24,RU,1685200493
3,grytviken,-54.2811,-36.5092,37.85,90,50,9.64,GS,1685200786
4,port-aux-francais,-49.35,70.2167,44.76,87,73,23.15,TF,1685200786
5,blackmans bay,-43.0167,147.3167,53.73,77,100,4.68,AU,1685200786
6,danilov,58.1908,40.1717,62.08,58,90,8.41,RU,1685200787
7,ar ruways,24.1103,52.7306,90.16,48,2,11.48,AE,1685200787
8,aral,40.5156,81.2636,71.98,26,100,7.43,CN,1685200787
9,bethel,41.3712,-73.414,75.88,42,0,1.99,US,1685200787
10,galesong,-5.3166,119.3661,78.82,82,7,8.12,ID,1685200787
11,ust-nera,64.5667,143.2,36.43,75,20,2.06,RU,1685200788
12,hurricane,37.1753,-113.2899,72.59,17,0,3.11,US,1685200414
13,illizi,26.4833,8.4667,91.2,13,22,10.54,DZ,1685200788
14,taungoo,18.9333,96.4333,83.03,70,51,4.03,MM,1685200788
15,muisne,0.6,-80.0333,81.0,83,95,10.27,EC,1685200788
16,ushuaia,-54.8,-68.3,42.42,75,75,33.38,AR,1685200626
17,arraial do cabo,-22.9661,-42.0278,80.56,54,0,18.41,BR,1685200789
18,east london,-33.0153,27.9116,65.34,72,0,6.91,ZA,1685200789
19,fort st. john,56.2499,-120.8529,60.69,51,40,11.5,CA,1685200789
20,puerto ayora,-0.7393,-90.3518,84.16,95,66,5.01,EC,1685200789
21,angostura,25.3667,-108.1833,79.95,38,99,4.05,MX,1685200789
22,taltal,-25.4,-70.4833,68.18,62,8,4.27,CL,1685200790
23,tura,25.5198,90.2201,70.41,91,45,4.41,IN,1685200790
24,coos bay,43.3665,-124.2179,58.32,97,100,6.91,US,1685200790
25,dul'durga,50.6761,113.5931,42.93,50,45,3.04,RU,1685200790
26,alofi,-19.0595,-169.9187,75.09,94,27,9.22,NU,1685200790
27,pacific grove,36.6177,-121.9166,55.22,86,100,4.61,US,1685200555
28,corner brook,48.9667,-57.9484,44.76,96,100,9.93,CA,1685200516
29,kargasok,59.0556,80.8572,55.2,39,6,3.04,RU,1685200791
30,luanda,-8.8368,13.2343,82.4,69,20,16.11,AO,1685200687
31,pereira barreto,-20.6383,-51.1092,85.8,36,13,7.92,BR,1685200682
32,luderitz,-26.6481,15.1594,61.92,62,0,12.77,NA,1685200791
33,jackson,42.4165,-122.8345,64.15,68,0,1.01,US,1685200446
34,tazovsky,67.4667,78.7,57.83,52,10,15.19,RU,1685200793
35,nemuro,43.3236,145.575,49.23,91,100,14.18,JP,1685200793
36,puerto natales,-51.7236,-72.4875,41.45,56,75,27.63,CL,1685200793
37,samarinda,-0.5,117.15,75.36,99,45,3.15,ID,1685200793
38,adamstown,-25.066,-130.1015,73.81,80,64,23.11,PN,1685200794
39,aasiaat,68.7098,-52.8699,31.64,94,100,21.07,GL,1685200794
40,udachny,66.4167,112.4,50.45,61,95,8.23,RU,1685200794
41,olonkinbyen,70.9221,-8.7187,31.73,77,100,19.62,SJ,1685200794
42,san antonio de pale,-1.4014,5.6325,79.25,81,100,14.14,GQ,1685200794
43,dhidhdhoo,6.8833,73.1,84.78,75,11,13.85,MV,1685200611
44,ta`u,-14.2336,-169.5144,82.54,75,100,12.03,AS,1685200795
45,vorgashor,67.5833,63.95,60.82,47,100,7.72,RU,1685200795
46,garachico,28.7781,-17.7646,69.91,60,20,4.61,ES,1685200795
47,touros,-5.1989,-35.4608,85.96,64,66,15.68,BR,1685200795
48,ilulissat,69.2167,-51.1,33.82,93,75,10.36,GL,1685200796
49,richards bay,-28.783,32.0377,68.92,73,76,10.67,ZA,1685200796
50,katsuura,35.1333,140.3,64.4,74,86,8.25,JP,1685200796
51,keren,15.7778,38.4581,83.95,42,97,14.14,ER,1685200796
52,stanley,54.868,-1.6985,68.72,55,20,12.66,GB,1685200796
53,namibe,-15.1961,12.1522,72.36,66,4,11.18,AO,1685200796
54,georgetown,5.4112,100.3354,84.13,77,20,1.14,MY,1685200797
55,okhotsk,59.3833,143.3,42.35,63,100,3.49,RU,1685200797
56,uturoa,-16.7333,-151.4333,80.96,77,98,21.59,PF,1685200797
57,pakpattan,30.341,73.3866,90.41,44,1,7.36,PK,1685200797
58,biu,10.6129,12.1946,97.29,28,6,5.61,NG,1685200797
59,yellowknife,62.456,-114.3525,46.92,81,100,11.5,CA,1685200798
60,anadyr,64.75,177.4833,32.5,93,0,2.24,RU,1685200798
61,kavieng,-2.5744,150.7967,81.99,77,41,7.81,PG,1685200798
62,vilyuchinsk,52.9306,158.4028,41.27,81,97,2.53,RU,1685200798
63,sinabang,2.4803,96.3801,80.01,83,20,5.93,ID,1685200799
64,kimbe,-5.5502,150.1429,76.5,91,44,0.94,PG,1685200799
65,fortuna,40.5982,-124.1573,54.36,95,100,5.12,US,1685200799
66,lebu,-37.6167,-73.65,48.76,64,22,11.48,CL,1685200799
67,el granada,37.5027,-122.4694,59.07,87,75,6.91,US,1685200787
68,berdigestyakh,62.0989,126.6992,38.7,78,69,4.85,RU,1685200800
69,bodaybo,57.8506,114.1933,43.7,61,100,0.76,RU,1685200800
70,boa vista,2.8197,-60.6733,87.78,62,75,6.91,BR,1685200800
71,kailua-kona,19.6406,-155.9956,70.23,82,0,5.99,US,1685200562
72,moab,38.5733,-109.5498,72.48,29,54,2.71,US,1685200801
73,rawai,7.7797,98.3253,87.98,99,14,17.54,TH,1685200801
74,belyy yar,53.6039,91.3903,51.69,58,0,4.47,RU,1685200801
75,basco,20.4487,121.9702,80.92,78,78,23.62,PH,1685200801
76,fale old settlement,-9.3852,-171.2468,83.21,76,27,9.62,TK,1685200802
77,san patricio,28.017,-97.5169,85.87,56,79,9.04,US,1685200802
78,mount isa,-20.7333,139.5,49.77,37,3,6.91,AU,1685200802
79,porbandar,21.6422,69.6093,83.3,84,1,16.91,IN,1685200802
80,hawaiian paradise park,19.5933,-154.9731,68.04,95,100,5.75,US,1685200803
81,tazacorte,28.629,-17.9293,72.57,70,20,8.01,ES,1685200803
82,karratha,-20.7377,116.8463,72.48,35,88,8.68,AU,1685200803
83,borogontsy,62.6683,131.1683,37.0,72,14,3.51,RU,1685200804
84,port mathurin,-19.6833,63.4167,77.54,74,33,22.93,MU,1685200804
85,west island,-12.1568,96.8225,80.58,78,40,14.97,CC,1685200804
86,port hedland,-20.3167,118.5667,69.85,28,30,8.05,AU,1685200789
87,rongelap,11.1635,166.8941,82.13,76,100,16.67,MH,1685200804
88,utrik,11.2278,169.8474,81.72,75,100,15.05,MH,1685200810
89,margaret river,-33.95,115.0667,59.58,69,91,6.64,AU,1685200810
90,paita,-5.0892,-81.1144,76.78,73,78,11.9,PE,1685200808
91,edinburgh of the seven seas,-37.0676,-12.3116,54.18,55,81,11.16,SH,1685200810
92,howrah,22.5892,88.3103,82.4,89,20,3.44,IN,1685200725
93,umba,66.6871,34.3429,47.17,45,17,8.84,RU,1685200811
94,murzuq,25.9155,13.9184,85.24,21,0,12.77,LY,1685200811
95,kachkanar,58.7,59.4948,69.8,53,100,4.27,RU,1685200811
96,vegueta,-11.0231,-77.6431,72.66,76,100,9.04,PE,1685200811
97,sosnovo-ozerskoye,52.5249,111.5418,41.56,72,78,7.94,RU,1685200811
98,kenai,60.5544,-151.2583,47.14,65,100,14.97,US,1685200573
99,fuerte olimpo,-21.0415,-57.8738,86.45,48,95,8.95,PY,1685200812
100,iqaluit,63.7506,-68.5145,24.53,68,75,3.44,CA,1685200812
101,las tablas,7.7667,-80.2833,85.3,65,29,4.23,PA,1685200812
102,lompoc,34.6391,-120.4579,58.01,83,100,5.75,US,1685200566
103,alice springs,-23.7,133.8833,38.75,70,15,7.92,AU,1685200813
104,susuman,62.7833,148.1667,33.04,76,2,3.22,RU,1685200813
105,bilibino,68.0546,166.4372,36.66,65,10,3.53,RU,1685200813
106,yuzhno-kurilsk,44.0306,145.8556,51.04,90,100,8.3,RU,1685200813
107,ixtapa,20.7,-105.2,83.23,50,20,8.05,MX,1685200814
108,flekkefjord,58.2971,6.6607,51.94,85,97,10.29,NO,1685200814
109,masterton,-40.9597,175.6575,50.88,92,50,2.86,NZ,1685200644
110,palikir - national government center,6.9248,158.1611,75.94,100,100,4.61,FM,1685200814
111,saint-philippe,-21.3585,55.7679,74.79,87,71,15.1,RE,1685200815
112,dudinka,69.4058,86.1778,42.62,92,20,16.37,RU,1685200815
113,severo-yeniseyskiy,60.3725,93.0408,39.51,83,97,4.09,RU,1685200815
114,novodvinsk,64.4165,40.8122,54.14,37,62,8.93,RU,1685200816
115,bredasdorp,-34.5322,20.0403,58.93,50,0,4.74,ZA,1685200816
116,karwar,14.8,74.1333,82.24,73,0,12.71,IN,1685200816
117,waitangi,-43.9535,-176.5597,57.81,94,100,4.0,NZ,1685200817
118,puerto santa,-8.9906,-78.6456,72.81,83,100,5.12,PE,1685200817
119,lethem,3.3803,-59.7968,88.41,59,54,8.66,GY,1685200817
120,albany,42.6001,-73.9662,72.68,41,2,1.01,US,1685200715
121,bridgewater,44.3835,-64.5155,74.82,36,0,14.97,CA,1685200818
122,mocoreta,-30.6189,-57.9634,63.55,54,75,19.19,AR,1685200818
123,tarauaca,-8.1614,-70.7656,86.38,65,84,1.45,BR,1685200823
124,amble,55.3333,-1.5833,69.94,46,75,13.8,GB,1685200824
